x	y	time	xaccel	yaccel	cumulative_time	xaccel_filtered_iir	yaccel_filtered_iir
26.461362000	26.461362000	0.020999908	-0.899999976	2.930000067	0.731999153	-0.738073108	0.140366084
27.579832250	27.579832250	0.022000074	-1.039999962	1.659999967	0.753999227	-0.387003708	-0.175170380
28.689671630	28.689671630	0.021999836	0.100000001	-5.750000000	0.775999063	0.126910835	-0.676957739
29.821379180	29.821379180	0.036000013	1.779999971	0.930000007	0.811999076	0.626830563	-1.102397245
31.546693490	31.546693490	0.026999950	-0.879999995	0.449999988	0.838999026	0.825469497	-1.308305724
32.929243420	32.929243420	0.022000074	1.309999943	-1.830000043	0.860999100	0.545907929	-1.315731007
33.989504600	33.989504600	0.019000053	1.330000043	-4.280000210	0.879999153	-0.065790152	-1.226661214
35.041422950	35.041422950	0.021000147	-1.629999995	1.409999967	0.900999300	-0.550352151	-1.159970650
36.186752150	36.186752150	0.021000147	-1.470000029	-0.140000001	0.921999447	-0.459270374	-1.141360080
37.329354480	37.329354480	0.022000074	0.709999979	-1.940000057	0.943999521	0.237744833	-1.004974024
38.445061510	38.445061510	0.019999981	1.600000024	-1.679999948	0.963999502	1.082183446	-0.567847153
39.509415060	39.509415060	0.023000002	1.549999952	-0.129999995	0.986999504	1.512730424	0.003227859
40.767736860	40.767736860	0.023999929	2.109999895	-0.140000001	1.010999433	1.331616118	0.160947139
41.945877160	41.945877160	0.022000074	-0.810000002	3.349999905	1.032999507	0.797169953	-0.481005392
43.150860500	43.150860500	0.019999981	0.709999979	-4.090000153	1.052999488	0.307072665	-1.583872995
44.256344920	44.256344920	0.019999981	0.140000001	-2.769999981	1.072999469	0.044520945	-2.235368539
45.261755880	45.261755880	0.020999908	0.409999996	-2.789999962	1.093999377	-0.079827317	-1.763803458
46.375139340	46.375139340	0.021000147	-0.319999993	0.370000005	1.114999524	-0.228276507	-0.348419798
47.552848300	47.552848300	0.021000147	-0.949999988	3.779999971	1.135999671	-0.448814698	1.203392026
48.749556260	48.749556260	0.022000074	-0.850000024	1.039999962	1.157999745	-0.648929501	2.154960732
49.949610820	49.949610820	0.036000013	0.589999974	-0.079999998	1.193999758	-0.669669594	2.219413838
51.689581190	51.689581190	0.020999908	-0.959999979	1.639999986	1.214999666	-0.387085595	1.436370580
52.966033320	52.966033320	0.019999981	-0.680000007	2.829999924	1.234999647	0.158581703	0.043738749
54.007671520	54.007671520	0.022000074	0.680000007	-1.509999990	1.256999721	0.682570854	-1.410313006
55.250769740	55.250769740	0.021000147	1.990000010	-4.579999924	1.277999868	0.790317211	-2.125191055
56.431984140	56.431984140	0.023999929	-0.029999999	-0.660000026	1.301999797	0.308202697	-1.575729679
57.685587760	57.685587760	0.022000074	-0.409999996	-0.419999987	1.323999871	-0.499416049	-0.068318987
58.863471050	58.863471050	0.020999908	-1.830000043	1.429999948	1.344999779	-1.089112177	1.340962307
60.044029470	60.044029470	0.022000074	-0.740000010	2.539999962	1.366999853	-1.055813136	1.613911475
61.260254190	61.260254190	0.023999929	-0.270000011	1.009999990	1.390999782	-0.440507064	0.547556378
62.533877120	62.533877120	0.022000074	-0.219999999	-1.769999981	1.412999856	0.312353101	-1.061615892
63.693531280	63.693531280	0.023000002	1.370000005	-2.839999914	1.435999858	0.686167675	-2.058192519
64.937254790	64.937254790	0.022000074	0.639999986	-2.400000095	1.457999932	0.454383334	-1.829462532
66.170985440	66.170985440	0.022000074	-0.639999986	1.149999976	1.480000006	-0.188386245	-0.701420838
67.333601110	67.333601110	0.022000074	-0.560000002	-1.289999962	1.502000080	-0.820833730	0.459085920
68.529975260	68.529975260	0.023000002	-1.799999952	3.289999962	1.525000082	-1.151238069	1.010553372
69.770470640	69.770470640	0.022000074	-1.669999957	0.970000029	1.547000156	-1.215175719	0.963895872
70.987878000	70.987878000	0.034999847	0.349999994	-2.230000019	1.582000003	-1.222169741	0.726717565
72.689576700	72.689576700	0.021000147	-1.100000024	1.299999952	1.603000150	-1.219765530	0.507614266
73.916124260	73.916124260	0.021000147	-1.679999948	1.440000057	1.624000297	-0.987327061	0.085286021
75.061230650	75.061230650	0.019000053	-1.179999948	-0.790000021	1.643000350	-0.346911973	-0.778369383
76.043318170	76.043318170	0.019999981	0.219999999	-1.879999995	1.663000331	0.447412476	-1.792236097
77.198232930	77.198232930	0.022000074	2.329999924	-1.549999952	1.685000405	0.758384891	-2.163440708
78.410620260	78.410620260	0.019999981	-0.230000004	-3.619999886	1.705000386	0.104305130	-1.273178613
79.434023490	79.434023490	0.098000050	-1.340000033	0.660000026	1.803000436	-1.336015941	0.652181599
